P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
HART067	HART032	HART046	0.148203	21.9091	2.3e-16	0.390774	91425.4	380183	282040
HART046	HART069	HART032	0.349586	60.7302	2.3e-16	0.521548	74528.7	323441	155878
ZZ3	HART032	HART046	0.168311	25.327	2.3e-16	0.395118	123443	346887	246940
ZZ7	HART032	HART046	0.158888	23.7591	2.3e-16	0.388942	113714	355171	257780
ZZ9	HART032	HART046	0.1778	27.6821	2.3e-16	0.405581	128985	345788	241388
HART049	HART050	HART032	0.0909244	16.7326	2.3e-16	0.153163	71710.5	262237	218524
HART049	HART053	HART032	0.00600552	1.70291	0.0885843	0.00862783	223649	206242	203779
HART049	HART032	HART063	0.105344	18.8518	2.3e-16	0.0195587	504134	125916	101916
HART067	HART032	HART049	0.0512381	13.7451	2.3e-16	0.286878	40452.4	365090	329500
HART049	HART069	HART032	0.294339	50.0842	2.3e-16	0.461399	73713.1	289536	157852
ZZ3	HART032	HART049	0.0450619	10.3403	2.3e-16	0.244087	71931.9	331255	302689
ZZ7	HART032	HART049	0.0310983	7.47832	7.52795e-14	0.187458	61024.5	338361	317951
ZZ9	HART032	HART049	0.0285609	6.12975	8.80146e-10	0.169554	72563.1	325246	307183
HART053	HART050	HART032	0.0860445	15.4058	2.3e-16	0.145793	72473.7	260330	219079
HART050	HART032	HART063	0.102719	18.943	2.3e-16	0.0162701	528739	106808	86909.5
HART050	HART032	HART067	0.199715	40.6248	2.3e-16	0.0449309	476419	108069	72088.8
HART032	HART069	HART050	0.00788669	1.21539	0.224217	0.00667841	200206	114020	112235
HART050	HART032	ZZ3	0.19419	36.0597	2.3e-16	0.0579229	420988	117952	79590.9
HART050	HART032	ZZ7	0.214125	40.7263	2.3e-16	0.0563929	437510	116460	75381.9
HART050	HART032	ZZ9	0.204465	37.5024	2.3e-16	0.0606823	416778	120382	79511.1
HART053	HART032	HART063	0.105485	19.0041	2.3e-16	0.0195439	506348	125667	101685
HART067	HART032	HART053	0.0534975	12.8629	2.3e-16	0.286474	40752	367852	330492
HART053	HART069	HART032	0.286388	48.5394	2.3e-16	0.456711	71755.5	290216	160995
ZZ3	HART032	HART053	0.0441488	9.66666	2.3e-16	0.232338	71250.5	333037	304874
ZZ7	HART032	HART053	0.026332	5.86095	4.60214e-09	0.157582	59419.1	339218	321812
ZZ9	HART032	HART053	0.03557	7.21886	5.24246e-13	0.195209	73411.4	328557	305986
HART063	HART067	HART032	0.108988	15.4768	2.3e-16	0.0807401	168974	272599	219019
HART069	HART032	HART063	0.0248605	4.69786	2.62901e-06	0.00300663	584688	74785.7	71157.5
ZZ3	HART032	HART063	0.115476	18.0276	2.3e-16	0.0324881	314020	195125	154726
ZZ7	HART032	HART063	0.119838	18.4218	2.3e-16	0.0346052	302381	201499	158373
ZZ9	HART032	HART063	0.121357	18.7314	2.3e-16	0.0338439	320245	194709	152565
HART069	HART032	HART067	0.100856	19.6096	2.3e-16	0.0175172	530742	74420.6	60784.4
HART067	ZZ3	HART032	0.442033	43.3796	2.3e-16	0.107065	556220	106536	41222.1
HART067	ZZ7	HART032	0.380672	36.677	2.3e-16	0.0775373	582018	85778.2	38477.5
HART067	ZZ9	HART032	0.454476	44.5202	2.3e-16	0.117951	544580	115139	43184.8
HART069	HART032	ZZ3	0.019915	3.09978	0.00193665	0.00487743	469313	78305.4	75247.4
HART069	HART032	ZZ7	0.0275897	4.35027	1.35967e-05	0.00596047	485774	76753.2	72631.7
HART032	HART069	ZZ9	0.00356413	0.530079	0.596057	0.000884366	462577	78770.2	78210.7
ZZ7	ZZ3	HART032	0.12516	8.0177	1.07748e-15	0.0320099	578394	80967.2	62954
ZZ3	ZZ9	HART032	0.0388543	2.51795	0.0118041	0.0121906	545651	88774.5	82134
ZZ7	ZZ9	HART032	0.190973	11.2091	2.3e-16	0.0438104	595834	76874.7	52221
HART046	HART033	HART038	0.310949	58.462	2.3e-16	0.471608	75679.7	318708	167517
HART049	HART033	HART038	0.251951	47.0736	2.3e-16	0.404501	73502	285878	170814
HART038	HART033	HART050	0.0174046	2.84684	0.00441553	0.0159499	191515	124505	120245
HART053	HART033	HART038	0.245808	44.9835	2.3e-16	0.399655	72721.9	285766	172998
HART033	HART038	HART063	0.0428942	8.90543	2.3e-16	0.00559643	575724	82318.4	75546.9
HART033	HART038	HART067	0.123931	26.4289	2.3e-16	0.0232066	522114	82391.9	64221.9
HART038	HART069	HART033	0.0208843	2.64055	0.00827714	0.0336279	144379	133474	128013
HART033	HART038	ZZ3	0.0259451	4.40647	1.05068e-05	0.00693317	460570	86125.1	81769.1
HART033	HART038	ZZ7	0.0670329	11.465	2.3e-16	0.0154364	478315	85782.4	75004.4
HART033	HART038	ZZ9	0.0106958	1.73647	0.0824802	0.00287969	454170	86333.8	84506.5
HART033	HART046	HART049	0.0473718	9.36316	2.3e-16	0.117512	188817	241296	219469
HART050	HART033	HART046	0.17194	30.0949	2.3e-16	0.153645	327629	151611	107124
HART033	HART046	HART053	0.0597096	12.093	2.3e-16	0.143114	188017	245688	218001
HART063	HART033	HART046	0.0632954	6.57804	4.76689e-11	0.155967	123208	380357	335074
HART067	HART033	HART046	0.00968449	1.40745	0.159294	0.0242682	102862	317726	311631
HART033	HART069	HART046	0.0484383	7.11717	1.10168e-12	0.0436613	353584	115794	105095
ZZ3	HART033	HART046	0.014156	2.13305	0.0329203	0.0312269	147176	282949	275050
ZZ7	HART033	HART046	0.00922915	1.36096	0.173526	0.0213349	131811	292093	286751
ZZ9	HART033	HART046	0.0224846	3.39771	0.00067953	0.0479832	154200	280836	268484
HART050	HART033	HART049	0.192402	32.9718	2.3e-16	0.210546	298870	153504	103966
HART053	HART049	HART033	0.00192509	0.563205	0.573295	0.00177797	290853	173708	173040
HART049	HART033	HART063	0.0619686	11.4992	2.3e-16	0.0139695	434685	146884	129742
HART033	HART067	HART049	0.0934271	23.8267	2.3e-16	0.332105	53773.9	360976	299290
HART033	HART069	HART049	0.0592353	8.01541	1.09765e-15	0.0707261	322157	117457	104320
HART033	ZZ3	HART049	0.115191	27.3946	2.3e-16	0.369913	97461.5	332595	263886
HART033	ZZ7	HART049	0.123845	28.9375	2.3e-16	0.413826	80963.5	348764	271898
HART033	ZZ9	HART049	0.133572	29.324	2.3e-16	0.426464	99625.4	336127	256913
HART050	HART033	HART053	0.178941	30.2607	2.3e-16	0.192772	298224	152190	105991
HART050	HART033	HART063	0.065765	13.4317	2.3e-16	0.0106622	538828	105661	92621
HART050	HART033	HART067	0.097151	20.2574	2.3e-16	0.0222602	491538	100655	82829.7
HART069	HART033	HART050	0.0105935	1.72906	0.083799	0.00976801	196130	123658	121066
HART050	HART033	ZZ3	0.164571	29.6381	2.3e-16	0.0513134	432031	120240	86257
HART050	HART033	ZZ7	0.152339	27.8888	2.3e-16	0.041465	450537	114237	84032.5
HART050	HART033	ZZ9	0.186461	33.3996	2.3e-16	0.0578895	426702	124048	85058.1
HART053	HART033	HART063	0.0617065	11.5282	2.3e-16	0.0139547	434446	147313	130189
HART033	HART067	HART053	0.0952102	22.1507	2.3e-16	0.325891	54719.5	362614	299568
HART033	HART069	HART053	0.0504652	6.8603	6.87156e-12	0.0577246	323565	116227	105060
HART033	ZZ3	HART053	0.120631	27.9469	2.3e-16	0.37343	97561	335561	263318
HART033	ZZ7	HART053	0.133101	29.5768	2.3e-16	0.429032	80026.2	353293	270293
HART033	ZZ9	HART053	0.131182	27.8271	2.3e-16	0.402337	101132	335588	257753
HART063	HART067	HART033	0.0858291	12.2406	2.3e-16	0.0638191	182002	267473	225188
HART033	HART069	HART063	0.0200416	3.9718	7.13321e-05	0.00266967	584611	82203.1	78972.9
ZZ3	HART033	HART063	0.0921977	14.512	2.3e-16	0.0269726	320042	198666	165125
ZZ7	HART033	HART063	0.0963635	14.8744	2.3e-16	0.0291018	303182	206316	170048
ZZ9	HART033	HART063	0.0981216	15.2591	2.3e-16	0.0283361	327962	197449	162163
HART033	HART069	HART067	0.0304388	6.00272	1.94042e-09	0.00577068	535313	76477.7	71959.5
HART067	ZZ3	HART033	0.50494	47.9897	2.3e-16	0.127507	571924	117863	38771.9
HART067	ZZ7	HART033	0.422711	39.9357	2.3e-16	0.0879939	598966	91852	37270.5
HART067	ZZ9	HART033	0.524467	49.4848	2.3e-16	0.142237	559548	128226	39998.1
HART033	HART069	ZZ3	0.0077161	1.24713	0.21235	0.00209972	469088	86145.1	84825.9
HART033	HART069	ZZ7	0.0413154	6.75762	1.40276e-11	0.00967065	487111	85092.1	78339.9
HART033	HART069	ZZ9	0.0139786	2.13417	0.0328292	0.00384616	461200	88515.5	86075
ZZ7	ZZ3	HART033	0.156477	9.39392	2.3e-16	0.043326	592376	90572.1	66062.4
ZZ3	ZZ9	HART033	0.0488876	2.945	0.00322958	0.0168826	556773	98015.1	88878.4
ZZ7	ZZ9	HART033	0.240327	13.3583	2.3e-16	0.0594771	607665	86824.6	53178.1
HART046	HART049	HART038	0.0765715	17.2215	2.3e-16	0.11269	178482	253967	217840
HART046	HART050	HART038	0.158069	27.9878	2.3e-16	0.249297	76520.5	292766	212845
HART046	HART053	HART038	0.0819922	18.75	2.3e-16	0.119853	180933	253523	215099
HART063	HART038	HART046	0.181158	19.312	2.3e-16	0.472275	104801	447015	309895
HART067	HART038	HART046	0.147905	21.8968	2.3e-16	0.389932	91498.4	380029	282097
HART046	HART069	HART038	0.349544	60.7521	2.3e-16	0.522658	74763.5	323458	155901
ZZ3	HART038	HART046	0.167964	25.3142	2.3e-16	0.394282	123512	346766	247030
ZZ7	HART038	HART046	0.158536	23.742	2.3e-16	0.388098	113738	355079	257900
ZZ9	HART038	HART046	0.177445	27.6779	2.3e-16	0.404759	129028	345673	241485
HART049	HART050	HART038	0.0910767	16.7971	2.3e-16	0.153956	71677.8	262322	218528
HART049	HART053	HART038	0.00559939	1.58864	0.112141	0.00807276	223741	206204	203907
HART049	HART038	HART063	0.104961	18.7603	2.3e-16	0.0194878	504216	125874	101961
HART067	HART038	HART049	0.051286	13.7931	2.3e-16	0.287168	40476.6	365135	329509
HART049	HART069	HART038	0.293727	50.0923	2.3e-16	0.462034	73837.8	289443	158013
ZZ3	HART038	HART049	0.045111	10.3622	2.3e-16	0.244395	71947.4	331328	302725
ZZ7	HART038	HART049	0.0311449	7.50216	6.27749e-14	0.187789	60998.6	338467	318021
ZZ9	HART038	HART049	0.0286118	6.14161	8.16906e-10	0.169892	72558.3	325331	307232
HART053	HART050	HART038	0.0865392	15.5135	2.3e-16	0.147071	72539.3	260512	219015
HART050	HART038	HART063	0.102325	18.8219	2.3e-16	0.016199	528848	106713	86901.1
HART050	HART038	HART067	0.199874	40.5836	2.3e-16	0.0449502	476496	108044	72048.4
HART038	HART069	HART050	0.00735933	1.12914	0.258841	0.0062426	200075	114106	112439
HART050	HART038	ZZ3	0.194197	36.0676	2.3e-16	0.0578908	421058	117883	79543
HART050	HART038	ZZ7	0.213726	40.6301	2.3e-16	0.0562614	437629	116367	75384.4
HART050	HART038	ZZ9	0.204274	37.4211	2.3e-16	0.0606026	416885	120318	79500.1
HART053	HART038	HART063	0.10504	18.9069	2.3e-16	0.019473	506329	125691	101796
HART067	HART038	HART053	0.0533135	12.8223	2.3e-16	0.285476	40816.6	367771	330541
HART053	HART069	HART038	0.28615	48.6054	2.3e-16	0.457657	71964	290207	161073
ZZ3	HART038	HART053	0.0439423	9.61533	2.3e-16	0.231264	71311.4	332988	304956
ZZ7	HART038	HART053	0.0261299	5.81503	6.06231e-09	0.156402	59451.7	339216	321941
ZZ9	HART038	HART053	0.0353609	7.18525	6.70829e-13	0.194084	73459.1	328528	306088
HART063	HART067	HART038	0.1092	15.5002	2.3e-16	0.0809946	169004	272645	218961
HART069	HART038	HART063	0.0242287	4.57953	4.66032e-06	0.00293454	584621	74849.9	71308.6
ZZ3	HART038	HART063	0.115222	17.9842	2.3e-16	0.0324181	314049	195089	154777
ZZ7	HART038	HART063	0.119578	18.3691	2.3e-16	0.0345354	302356	201484	158444
ZZ9	HART038	HART063	0.121105	18.6994	2.3e-16	0.033774	320237	194669	152611
HART069	HART038	HART067	0.100816	19.5965	2.3e-16	0.0175371	530620	74532	60880.3
HART067	ZZ3	HART038	0.441847	43.3674	2.3e-16	0.107167	556212	106507	41230
HART067	ZZ7	HART038	0.379945	36.6242	2.3e-16	0.077472	582031	85695.3	38505.8
HART067	ZZ9	HART038	0.454223	44.5927	2.3e-16	0.118016	544568	115073	43187.4
HART069	HART038	ZZ3	0.0197493	3.07591	0.00209858	0.00484351	469211	78400.4	75363.6
HART069	HART038	ZZ7	0.0269103	4.24327	2.20286e-05	0.00582202	485711	76812.2	72786.5
HART038	HART069	ZZ9	0.00390093	0.580699	0.561443	0.000969243	462499	78909.6	78296.4
ZZ7	ZZ3	HART038	0.125698	8.04412	8.68663e-16	0.0321888	578441	80993.1	62905.3
ZZ3	ZZ9	HART038	0.0386685	2.50757	0.0121564	0.0121507	545680	88749	82141
ZZ7	ZZ9	HART038	0.191349	11.2272	2.3e-16	0.0439483	595892	76878.6	52182.9
HART046	HART049	HART050	0.066511	15.0375	2.3e-16	0.0529691	276622	205257	179656
HART049	HART053	HART046	0.0133819	4.59167	4.39719e-06	0.0269605	286716	196590	191398
HART063	HART049	HART046	0.127734	12.8384	2.3e-16	0.336717	104790	431560	333798
HART046	HART067	HART049	0.0786594	16.5557	2.3e-16	0.243168	174864	273298	233438
HART069	HART046	HART049	0.0190983	3.49173	0.000479906	0.0503471	190081	231860	223170
HART046	ZZ3	HART049	0.0929252	19.7566	2.3e-16	0.286011	168439	275699	228817
HART046	ZZ7	HART049	0.108791	22.4713	2.3e-16	0.335771	167615	280475	225436
HART046	ZZ9	HART049	0.112384	23.3641	2.3e-16	0.350092	161790	284007	226621
HART046	HART053	HART050	0.0738746	17.627	2.3e-16	0.0584956	279373	205487	177215
HART063	HART050	HART046	0.00112657	0.11878	0.905449	0.0027434	128211	353913	353116
HART050	HART067	HART046	0.061381	8.97085	2.3e-16	0.132595	105336	331931	293539
HART050	HART069	HART046	0.213476	34.2195	2.3e-16	0.190598	319576	156850	101663
HART050	ZZ3	HART046	0.0649106	9.90318	2.3e-16	0.126364	138271	300128	263540
HART050	ZZ7	HART046	0.0671704	10.0017	2.3e-16	0.135194	125812	310956	271811
HART050	ZZ9	HART046	0.0575453	8.78845	2.3e-16	0.110988	142014	295289	263154
HART063	HART053	HART046	0.133765	13.6371	2.3e-16	0.3546	104368	436312	333357
HART046	HART067	HART053	0.0692202	14.0539	2.3e-16	0.213304	173970	273095	237735
HART069	HART046	HART053	0.0361444	6.87336	6.27065e-12	0.0906218	189810	236781	220262
HART046	ZZ3	HART053	0.0875716	18.403	2.3e-16	0.268783	166552	276679	232122
HART046	ZZ7	HART053	0.108252	22.3742	2.3e-16	0.333671	164814	283140	227827
HART046	ZZ9	HART053	0.0976789	20.0118	2.3e-16	0.302517	161606	281777	231628
HART063	HART067	HART046	0.0515603	4.4663	7.95844e-06	0.134974	105379	399619	360431
HART063	HART069	HART046	0.07833	8.05415	8.00358e-16	0.192819	120727	385345	329362
HART063	ZZ3	HART046	0.0501572	4.45472	8.40042e-06	0.128761	108575	391366	353981
HART063	ZZ7	HART046	0.0533108	4.69542	2.66056e-06	0.137567	106504	394578	354637
HART063	ZZ9	HART046	0.0442386	3.95571	7.6307e-05	0.113426	108594	388677	355745
HART067	HART069	HART046	0.0267416	3.81826	0.000134397	0.0668699	101367	322412	305618
ZZ3	HART067	HART046	0.00996103	1.0591	0.289555	0.00713172	415838	91455.4	89651.4
HART067	ZZ7	HART046	0.00481263	0.47625	0.633897	0.00299721	430756	78582.5	77829.7
ZZ9	HART067	HART046	0.0329147	3.38187	0.000719941	0.0243049	408947	98165.6	91909.4
ZZ3	HART069	HART046	0.0333895	4.86124	1.16651e-06	0.0735245	142654	287807	269208
ZZ7	HART069	HART046	0.0278542	3.98283	6.80988e-05	0.0640648	131751	295980	279939
ZZ9	HART069	HART046	0.042055	6.08562	1.16043e-09	0.089549	150684	285579	262528
ZZ3	ZZ7	HART046	0.0162878	1.40648	0.159583	0.0101074	451138	79764.4	77207.6
ZZ9	ZZ3	HART046	0.0238987	2.29556	0.0217011	0.0172966	435396	95375	90922.7
ZZ9	ZZ7	HART046	0.0506963	3.9609	7.46682e-05	0.0272294	472179	72632.4	65623.3
HART049	HART053	HART050	0.00827581	2.43387	0.0149383	0.00583549	326722	162709	160038
HART049	HART050	HART063	0.0135293	2.40911	0.0159915	0.00334304	404961	153658	149556
HART050	HART067	HART049	0.169801	41.3267	2.3e-16	0.472728	58097.5	383126	271901
HART050	HART069	HART049	0.242639	37.4378	2.3e-16	0.266381	290126	160489	97814.6
HART050	ZZ3	HART049	0.196809	47.041	2.3e-16	0.502576	90417.1	359535	241287
HART050	ZZ7	HART049	0.20288	46.6943	2.3e-16	0.537243	76720.6	374725	248321
HART050	ZZ9	HART049	0.214174	46.9056	2.3e-16	0.54722	89460.5	364952	236201
HART049	HART053	HART063	8.2112e-05	0.0339413	0.972924	1.50679e-05	534669	112599	112581
HART049	HART053	HART067	0.00181764	0.450774	0.652152	0.00145495	245527	190760	190068
HART053	HART049	HART069	0.00753895	2.04978	0.0403862	0.00654471	280236	176227	173590
HART049	HART053	ZZ3	0.0074945	2.06137	0.0392675	0.00729025	238223	192653	189787
HART049	HART053	ZZ7	0.0140864	3.45738	0.000545452	0.0127004	231583	196770	191304
HART053	HART049	ZZ9	0.00529378	1.34601	0.178298	0.00511291	232161	194229	192183
HART067	HART049	HART063	0.107102	16.837	2.3e-16	0.0207828	501236	134607	108563
HART049	HART069	HART063	0.0761874	13.3897	2.3e-16	0.016602	441594	143886	123514
ZZ3	HART049	HART063	0.0687065	11.4235	2.3e-16	0.0131873	501189	127537	111138
ZZ7	HART049	HART063	0.0815617	12.9075	2.3e-16	0.0153466	508617	126808	107683
ZZ9	HART049	HART063	0.0776472	12.6788	2.3e-16	0.0145701	510061	125905	107761
HART069	HART067	HART049	0.0735493	17.3703	2.3e-16	0.281272	51640	354324	305774
HART067	ZZ3	HART049	0.0364411	3.31814	0.000906178	0.0566087	318796	99869.1	92846.4
HART067	ZZ7	HART049	0.0901747	7.49867	6.447e-14	0.122356	331069	91755.2	76576
HART067	ZZ9	HART049	0.0858069	7.74377	9.65124e-15	0.141278	305713	110892	93365.5
HART069	ZZ3	HART049	0.0931163	19.835	2.3e-16	0.321958	92375	326190	270617
HART069	ZZ7	HART049	0.102976	22.1994	2.3e-16	0.369213	80253.5	341302	277573
HART069	ZZ9	HART049	0.11145	22.5593	2.3e-16	0.382813	95417.9	329479	263402
ZZ3	ZZ7	HART049	0.0476156	3.80316	0.000142863	0.0696928	348241	89727.9	81571.4
ZZ3	ZZ9	HART049	0.0524083	4.86486	1.14535e-06	0.0897504	327721	105465	94960.7
ZZ7	ZZ9	HART049	0.0154921	1.14921	0.25047	0.0215608	361278	76938.5	74591
HART053	HART050	HART063	0.0134933	2.42993	0.0151018	0.00332797	407340	153366	149282
HART050	HART067	HART053	0.165828	37.6921	2.3e-16	0.455841	58297.5	384018	274772
HART050	HART069	HART053	0.222796	34.1905	2.3e-16	0.239369	289700	157426	100059
HART050	ZZ3	HART053	0.195857	46.2557	2.3e-16	0.494215	89607.3	361591	243149
HART050	ZZ7	HART053	0.205713	46.2357	2.3e-16	0.539099	75156.6	378628	249428
HART050	ZZ9	HART053	0.205639	43.7656	2.3e-16	0.51755	90154.7	363601	239566
HART067	HART050	HART063	0.0716096	10.9099	2.3e-16	0.0240563	263062	225563	195417
HART050	HART069	HART063	0.0825819	14.8293	2.3e-16	0.0133035	533989	106645	90374.8
ZZ3	HART050	HART063	0.0533264	8.32278	2.3e-16	0.0164862	302902	202470	181969
ZZ7	HART050	HART063	0.0587126	8.95251	2.3e-16	0.0186383	289125	209423	186195
ZZ9	HART050	HART063	0.0581721	9.01306	2.3e-16	0.0178644	306892	202329	180083
HART050	HART069	HART067	0.123159	23.2862	2.3e-16	0.0279023	485655	101884	79540.2
HART067	ZZ3	HART050	0.433774	41.9963	2.3e-16	0.0937179	592053	104009	41075.1
HART067	ZZ7	HART050	0.350438	33.7538	2.3e-16	0.062847	618634	81316.3	39113.2
HART067	ZZ9	HART050	0.436827	42.5411	2.3e-16	0.0998682	580606	110294	43230.2
HART050	HART069	ZZ3	0.174486	29.4455	2.3e-16	0.0533054	426692	118813	83510.4
HART050	HART069	ZZ7	0.187654	30.9864	2.3e-16	0.0507348	443904	116948	79991.4
HART050	HART069	ZZ9	0.201262	32.483	2.3e-16	0.0615131	421264	123643	82211.9
ZZ7	ZZ3	HART050	0.148766	9.59568	2.3e-16	0.0329412	615827	80040	59309.5
ZZ3	ZZ9	HART050	0.0249686	1.62436	0.104299	0.00678617	582516	84768.5	80638.5
ZZ7	ZZ9	HART050	0.200425	11.8109	2.3e-16	0.0395039	634281	74449.8	49589.3
HART067	HART053	HART063	0.106406	16.564	2.3e-16	0.0207975	502802	135499	109436
HART053	HART069	HART063	0.0757699	13.4929	2.3e-16	0.0165871	439562	144491	124137
ZZ3	HART053	HART063	0.068764	11.4481	2.3e-16	0.0132022	504081	127581	111164
ZZ7	HART053	HART063	0.0820033	12.9457	2.3e-16	0.0153614	513556	126299	107155
ZZ9	HART053	HART063	0.0768947	12.5592	2.3e-16	0.0145849	509270	127177	109015
HART069	HART067	HART053	0.0785769	17.2492	2.3e-16	0.284596	52681.3	356058	304178
HART067	ZZ3	HART053	0.0473233	4.28574	1.82136e-05	0.0705206	317828	101768	92570.9
HART067	ZZ7	HART053	0.11706	9.91926	2.3e-16	0.153003	329051	95204.2	75250.8
HART067	ZZ9	HART053	0.0716965	6.57367	4.90901e-11	0.113402	307397	110531	95742
HART069	ZZ3	HART053	0.10222	21.7479	2.3e-16	0.335047	92605	329286	268210
HART069	ZZ7	HART053	0.115848	23.8909	2.3e-16	0.394055	79431.2	345946	274113
HART069	ZZ9	HART053	0.112688	22.1884	2.3e-16	0.365724	97127.1	329142	262474
ZZ3	ZZ7	HART053	0.0625061	4.99852	5.77727e-07	0.0887405	344470	91423.6	80666.9
ZZ3	ZZ9	HART053	0.0277832	2.55608	0.010586	0.0461347	327739	103437	97844.4
ZZ9	ZZ7	HART053	0.0341167	2.46297	0.013779	0.0446666	359491	78270.7	73106.3
HART063	HART067	HART069	0.0884598	12.4098	2.3e-16	0.0624226	178083	268072	224499
HART067	ZZ3	HART063	0.0793578	9.50714	2.3e-16	0.00769695	674572	65594.9	55949.4
HART067	ZZ7	HART063	0.0660015	7.49883	6.43915e-14	0.00552086	696119	55871	48952.5
HART067	ZZ9	HART063	0.062121	7.4206	1.16592e-13	0.00630449	664661	67540	59639.5
ZZ3	HART069	HART063	0.102201	15.6407	2.3e-16	0.0295703	317747	198282	161511
ZZ7	HART069	HART063	0.10664	15.8815	2.3e-16	0.0316938	305330	204942	165444
ZZ9	HART069	HART063	0.108305	16.4103	2.3e-16	0.0309302	326794	197071	158555
ZZ7	ZZ3	HART063	0.0261228	2.38171	0.0172324	0.00218818	710279	53559	50832
ZZ9	ZZ3	HART063	0.0142893	1.46772	0.142181	0.00140131	684743	61932.1	60187.1
ZZ7	ZZ9	HART063	0.0108368	0.907705	0.364034	0.000787972	732439	45799.6	44817.6
HART067	ZZ3	HART069	0.492926	46.3571	2.3e-16	0.115962	567669	114927	39035.2
HART067	ZZ7	HART069	0.436775	40.352	2.3e-16	0.0868133	593809	93447.5	36632
HART067	ZZ9	HART069	0.518154	48.2597	2.3e-16	0.131636	555089	126207	40056.8
HART067	ZZ3	ZZ7	0.0812268	4.93195	8.14138e-07	0.100465	80042.6	127786	108586
HART067	ZZ9	ZZ3	0.0561886	3.48755	0.000487465	0.0794	102582	130018	116184
HART067	ZZ9	ZZ7	0.185938	11.2856	2.3e-16	0.247889	61558.8	151077	103704
ZZ7	ZZ3	HART069	0.123434	7.41976	1.17333e-13	0.03192	587298	86813.4	67736.7
ZZ3	ZZ9	HART069	0.0560146	3.39143	0.000695292	0.01773	553011	96693.8	86435.9
ZZ7	ZZ9	HART069	0.210979	11.5758	2.3e-16	0.0490842	602588	84187.9	54853.1
ZZ3	ZZ9	ZZ7	0.11454	5.77519	7.68664e-09	0.163889	74990.3	137073	108899
