P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
HART049	H6	HART063	0.00549019	2.26688	0.0233973	0.00102457	547421	115130	113872
HART067	H6	HART049	0.13308	32.8601	2.3e-16	0.539415	157723	284882	217963
HART049	H6	HART069	0.129454	43.2308	2.3e-16	0.117324	273391	204890	157923
H6	HART049	ZZ3	0.110756	30.1386	2.3e-16	0.0969495	271546	211650	169442
ZZ7	H6	HART049	0.107029	25.5714	2.3e-16	0.475203	170335	267579	215839
ZZ9	H6	HART049	0.102604	24.2474	2.3e-16	0.463639	169774	265388	215996
HART053	H6	HART050	0.123633	42.2958	2.3e-16	0.0909205	320083	188009	146636
H6	HART050	HART063	0.00999011	1.87171	0.0612473	0.00232077	439157	143810	140965
HART050	HART067	H6	0.0105787	2.65362	0.0079634	0.0307033	66699.5	331487	324547
H6	HART050	HART069	0.190426	32.6703	2.3e-16	0.233956	110131	258399	175730
HART050	ZZ3	H6	0.0527013	13.0776	2.3e-16	0.14155	92638	319547	287552
HART050	ZZ7	H6	0.0585779	14.0008	2.3e-16	0.163053	80512.3	333012	296157
HART050	ZZ9	H6	0.0634563	14.5741	2.3e-16	0.170264	93215.6	322485	284000
HART053	H6	HART063	0.00538087	2.14882	0.0316488	0.00100945	545987	115721	114482
HART067	H6	HART053	0.126994	28.1432	2.3e-16	0.492299	159741	284876	220674
HART053	H6	HART069	0.13642	42.4422	2.3e-16	0.123101	273088	206611	157007
ZZ3	H6	HART053	0.113381	26.9199	2.3e-16	0.453779	169989	270069	215064
ZZ7	H6	HART053	0.0910417	20.7035	2.3e-16	0.400587	169916	265135	220887
ZZ9	H6	HART053	0.102483	23.1422	2.3e-16	0.427361	172194	265784	216371
HART067	H6	HART063	0.0963685	15.3679	2.3e-16	0.021786	460432	155301	128000
H6	HART069	HART063	0.0766495	14.2239	2.3e-16	0.0155934	478925	134250	115135
ZZ3	H6	HART063	0.0656353	11.1765	2.3e-16	0.0141983	473514	143327	125671
ZZ7	H6	HART063	0.076392	12.3291	2.3e-16	0.0163554	478647	143600	123217
ZZ9	H6	HART063	0.0729158	12.194	2.3e-16	0.0155797	479412	142735	123335
HART067	HART069	H6	0.0881774	22.5368	2.3e-16	0.267732	60842.5	361944	303286
HART067	ZZ3	H6	0.13622	12.9097	2.3e-16	0.114358	365628	104492	79437.5
HART067	ZZ7	H6	0.188058	16.3803	2.3e-16	0.136543	379314	94495.9	64580.4
HART067	ZZ9	H6	0.161271	15.3559	2.3e-16	0.143981	354618	113575	82029.5
ZZ3	HART069	H6	0.0553954	13.6632	2.3e-16	0.173178	94894.2	320104	286501
ZZ7	HART069	H6	0.0457858	10.8181	2.3e-16	0.151935	83967.1	328254	299511
ZZ9	HART069	H6	0.0451029	10.3525	2.3e-16	0.144566	99173.2	314125	287012
ZZ3	ZZ7	H6	0.0286926	2.3274	0.0199439	0.0250492	391147	87129.9	82269.4
ZZ3	ZZ9	H6	0.0326004	3.19873	0.00138037	0.0334482	371266	102787	96296.9
ZZ7	ZZ9	H6	0.0108602	0.794731	0.42677	0.00861487	406409	75847.8	74218.1
HART030	HART001	HART032	0.0704143	8.35497	2.3e-16	0.096657	161971	125051	108599
HART030	HART001	HART033	0.00440476	0.572635	0.566892	0.00681725	170882	122845	121768
HART030	HART001	HART038	0.0700225	8.32877	2.3e-16	0.0965719	162176	125029	108665
HART030	HART001	HART046	0.0391334	5.32504	1.00932e-07	0.0308958	385041	99214	91741.3
HART030	HART001	HART049	0.0526493	6.72674	1.73501e-11	0.0550064	353182	100455	90406.7
HART030	HART001	HART050	0.00632082	0.939983	0.347226	0.00495199	228265	105159	103838
HART030	HART001	HART053	0.035812	4.65779	3.19617e-06	0.0359401	353666	98297.3	91500.3
HART001	HART030	HART063	0.0033384	0.630975	0.528057	0.000383055	619429	69464.1	69001.9
HART030	HART001	HART067	0.0134396	2.54457	0.0109412	0.0021918	571325	64472.8	62762.8
HART069	HART001	HART030	7.52098e-05	0.0466508	0.962792	7.48708e-05	223324	76325.6	76314.1
HART030	HART001	ZZ3	0.0165582	2.52762	0.0114839	0.00382397	504835	73879.4	71472.6
HART030	HART001	ZZ7	0.0408504	6.36963	1.89482e-10	0.00821967	523059	73011.6	67280.6
HART030	HART001	ZZ9	0.0352571	5.03595	4.75488e-07	0.00825494	497947	77246.7	71985.2
HART032	HART001	HART033	0.0208359	2.63453	0.00842528	0.0335117	144449	133332	127889
HART038	HART032	HART001	0.00154428	0.558681	0.57638	0.00123588	223324	74014.5	73786.2
HART046	HART001	HART032	0.349469	60.7251	2.3e-16	0.521414	74530.6	323438	155918
HART049	HART001	HART032	0.294232	50.0791	2.3e-16	0.461248	73715.4	289522	157882
