P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
HART067	HART049	H6	0.287298	90.0384	2.3e-16	0.58039	217963	284882	157723
HART069	H6	HART049	0.267713	74.3324	2.3e-16	0.668965	204890	273391	157923
ZZ3	HART049	H6	0.231535	73.0193	2.3e-16	0.526207	211650	271546	169442
ZZ7	HART049	H6	0.222062	66.4175	2.3e-16	0.514035	215839	267579	170335
ZZ9	HART049	H6	0.21972	66.8723	2.3e-16	0.509811	215996	265388	169774
HART050	H6	HART053	0.371631	124.501	2.3e-16	0.72373	188009	320083	146636
H6	HART050	HART063	0.00999011	1.87171	0.0612473	0.00232077	439157	143810	140965
HART050	H6	HART067	0.664984	184.049	2.3e-16	0.330657	324547	331487	66699.5
H6	HART069	HART050	0.402321	80.0629	2.3e-16	0.358418	175730	258399	110131
HART050	H6	ZZ3	0.550503	79.0047	2.3e-16	0.342622	287552	319547	92638
HART050	H6	ZZ7	0.610605	97.7657	2.3e-16	0.346638	296157	333012	80512.3
HART050	H6	ZZ9	0.551525	74.536	2.3e-16	0.340401	284000	322485	93215.6
HART063	H6	HART053	0.653331	261.114	2.3e-16	0.866972	115721	545987	114482
HART067	HART053	H6	0.281443	87.1369	2.3e-16	0.571148	220674	284876	159741
HART069	H6	HART053	0.269897	74.3934	2.3e-16	0.636788	206611	273088	157007
ZZ3	HART053	H6	0.227424	69.5973	2.3e-16	0.515773	215064	270069	169989
ZZ7	HART053	H6	0.218868	62.6935	2.3e-16	0.503331	220887	265135	169916
ZZ9	HART053	H6	0.213685	61.0994	2.3e-16	0.499016	216371	265784	172194
HART063	H6	HART067	0.564947	142.224	2.3e-16	0.382795	155301	460432	128000
H6	HART069	HART063	0.0766495	14.2239	2.3e-16	0.0155934	478925	134250	115135
HART063	H6	ZZ3	0.580526	156.857	2.3e-16	0.444127	143327	473514	125671
HART063	H6	ZZ7	0.590548	156.945	2.3e-16	0.427531	143600	478647	123217
HART063	H6	ZZ9	0.590758	159.499	2.3e-16	0.44491	142735	479412	123335
HART069	H6	HART067	0.665819	174.1	2.3e-16	0.311445	361944	303286	60842.5
HART067	ZZ3	H6	0.13622	12.9097	2.3e-16	0.114358	365628	104492	79437.5
HART067	ZZ7	H6	0.188058	16.3803	2.3e-16	0.136543	379314	94495.9	64580.4
HART067	ZZ9	H6	0.161271	15.3559	2.3e-16	0.143981	354618	113575	82029.5
HART069	H6	ZZ3	0.502383	59.4459	2.3e-16	0.305607	320104	286501	94894.2
HART069	H6	ZZ7	0.562076	68.6142	2.3e-16	0.311719	328254	299511	83967.1
HART069	H6	ZZ9	0.486396	51.4297	2.3e-16	0.297168	314125	287012	99173.2
ZZ3	ZZ7	H6	0.0286926	2.3274	0.0199439	0.0250492	391147	87129.9	82269.4
ZZ3	ZZ9	H6	0.0326004	3.19873	0.00138037	0.0334482	371266	102787	96296.9
ZZ7	ZZ9	H6	0.0108602	0.794731	0.42677	0.00861487	406409	75847.8	74218.1
HART030	HART001	HART032	0.0704143	8.35497	2.3e-16	0.096657	161971	125051	108599
HART030	HART001	HART033	0.00440476	0.572635	0.566892	0.00681725	170882	122845	121768
HART030	HART001	HART038	0.0700225	8.32877	2.3e-16	0.0965719	162176	125029	108665
HART030	HART001	HART046	0.0391334	5.32504	1.00932e-07	0.0308958	385041	99214	91741.3
HART030	HART001	HART049	0.0526493	6.72674	1.73501e-11	0.0550064	353182	100455	90406.7
HART030	HART001	HART050	0.00632082	0.939983	0.347226	0.00495199	228265	105159	103838
HART030	HART001	HART053	0.035812	4.65779	3.19617e-06	0.0359401	353666	98297.3	91500.3
HART001	HART030	HART063	0.0033384	0.630975	0.528057	0.000383055	619429	69464.1	69001.9
HART030	HART001	HART067	0.0134396	2.54457	0.0109412	0.0021918	571325	64472.8	62762.8
HART069	HART001	HART030	7.52098e-05	0.0466508	0.962792	7.48708e-05	223324	76325.6	76314.1
HART030	HART001	ZZ3	0.0165582	2.52762	0.0114839	0.00382397	504835	73879.4	71472.6
HART030	HART001	ZZ7	0.0408504	6.36963	1.89482e-10	0.00821967	523059	73011.6	67280.6
HART030	HART001	ZZ9	0.0352571	5.03595	4.75488e-07	0.00825494	497947	77246.7	71985.2
HART033	HART001	HART032	0.060806	7.56434	3.89831e-14	0.0972273	133332	144449	127889
HART038	HART032	HART001	0.00154428	0.558681	0.57638	0.00123588	223324	74014.5	73786.2
HART001	HART032	HART046	0.353169	58.3648	2.3e-16	0.347222	323438	155918	74530.6
HART001	HART032	HART049	0.363417	57.2561	2.3e-16	0.487539	289522	157882	73715.4
HART032	HART001	HART050	0.00769732	1.18704	0.235213	0.00651882	200197	114012	112270
HART001	HART032	HART053	0.383472	61.3302	2.3e-16	0.489632	290213	161035	71763.1
HART001	HART032	HART063	0.0249917	4.72319	2.32168e-06	0.00302358	584682	74823.4	71174.6
HART001	HART032	HART067	0.100961	19.639	2.3e-16	0.01754	530726	74448.3	60794
HART001	HART069	HART032	0.00031654	0.20275	0.839331	0.000281347	252230	68354.3	68311
HART001	HART032	ZZ3	0.0200005	3.11456	0.00184221	0.00489922	469291	78327.4	75255.6
HART001	HART032	ZZ7	0.0277777	4.37918	1.19126e-05	0.00600252	485766	76788.7	72638
HART032	HART001	ZZ9	0.00345796	0.514501	0.606902	0.000858246	462563	78782.5	78239.5
HART033	HART001	HART038	0.0598772	7.44952	9.36786e-14	0.0962968	133481	144370	128058
HART033	HART001	HART046	0.0482563	7.09243	1.31773e-12	0.0435042	353583	115793	105132
HART033	HART001	HART049	0.0591056	7.99633	1.28185e-15	0.0705804	322147	117458	104348
HART001	HART033	HART050	0.0107664	1.758	0.0787474	0.00992742	196132	123698	121063
HART033	HART001	HART053	0.0503105	6.84048	7.89281e-12	0.0575562	323560	116227	105093
HART033	HART001	HART063	0.0199097	3.94364	8.02554e-05	0.00265273	584603	82212.1	79002.4
HART033	HART001	HART067	0.0303121	5.97651	2.27963e-09	0.0057477	535297	76482.1	71981.9
HART001	HART069	HART033	0.000268384	0.158849	0.873788	0.000238769	264842	69844.1	69806.6
HART033	HART001	ZZ3	0.00763485	1.23421	0.217125	0.00207791	469070	86150.9	84845.3
HART033	HART001	ZZ7	0.0411277	6.72351	1.77401e-11	0.00962873	487106	85094.6	78371.6
HART033	HART001	ZZ9	0.0138814	2.11973	0.0340287	0.00382011	461187	88523.5	86099.5
HART001	HART038	HART046	0.351844	58.0512	2.3e-16	0.34632	323449	155946	74770
HART001	HART038	HART049	0.363111	57.2931	2.3e-16	0.487748	289423	158047	73844.4
HART038	HART001	HART050	0.00716959	1.10081	0.270979	0.00608247	200058	114100	112476
HART001	HART038	HART053	0.382431	61.4812	2.3e-16	0.488917	290196	161116	71974.9
HART001	HART038	HART063	0.0243581	4.60479	4.12889e-06	0.00295149	584611	74893.1	71331.4
HART001	HART038	HART067	0.100918	19.6281	2.3e-16	0.0175599	530596	74561.9	60892.1
HART001	HART069	HART038	0.000393187	0.263097	0.792476	0.000350986	252446	68353.1	68299.4
HART001	HART038	ZZ3	0.0198339	3.09087	0.00199573	0.00486533	469183	78425.9	75375.4
HART001	HART038	ZZ7	0.0270977	4.27242	1.93361e-05	0.00586411	485694	76849.8	72794.8
HART038	HART001	ZZ9	0.00379465	0.565164	0.571962	0.000943109	462477	78924.2	78327.5
HART001	HART046	HART049	0.0191564	3.50154	0.00046257	0.0504956	190070	231888	223171
HART050	HART001	HART046	0.213312	34.1978	2.3e-16	0.190465	319562	156840	101692
HART001	HART046	HART053	0.0362123	6.88681	5.70579e-12	0.0907832	189806	236816	220264
HART001	HART046	HART063	0.463545	46.8725	2.3e-16	0.172906	385338	329393	120737
HART001	HART046	HART067	0.50187	60.4687	2.3e-16	0.262399	322398	305642	101373
HART001	HART069	HART046	0.000347206	0.216739	0.828411	0.000164252	488249	55461.9	55423.4
HART001	HART046	ZZ3	0.307285	29.7372	2.3e-16	0.201868	287790	269230	142662
HART001	HART046	ZZ7	0.359997	34.8304	2.3e-16	0.214342	295971	279968	131750
HART001	HART046	ZZ9	0.270691	24.8796	2.3e-16	0.176963	285563	262551	150690
HART050	HART001	HART049	0.242519	37.4125	2.3e-16	0.266266	290105	160484	97836.5
HART053	HART049	HART001	0.00755483	2.05393	0.0399821	0.00655931	280263	176227	173584
HART063	HART001	HART049	0.562788	141.393	2.3e-16	0.648178	143895	441595	123543
HART067	HART049	HART001	0.711006	177.159	2.3e-16	0.388342	354348	305771	51645.6
HART001	HART069	HART049	0.000243583	0.153627	0.877904	0.0001564	455134	55436	55409
ZZ3	HART049	HART001	0.491001	53.5414	2.3e-16	0.308094	326209	270610	92381
ZZ7	HART049	HART001	0.551449	61.4197	2.3e-16	0.330199	341328	277572	80251
ZZ9	HART049	HART001	0.468125	47.2176	2.3e-16	0.295606	329502	263398	95424.5
HART050	HART001	HART053	0.22265	34.1724	2.3e-16	0.239233	289685	157421	100087
HART050	HART001	HART063	0.0824566	14.7968	2.3e-16	0.0132867	533982	106660	90410.4
HART050	HART001	HART067	0.123039	23.2549	2.3e-16	0.0278799	485637	101891	79564.5
HART001	HART069	HART050	0.000358503	0.235783	0.813601	0.000161049	329706	59644.4	59601.6
HART050	HART001	ZZ3	0.174399	29.4308	2.3e-16	0.0532847	426668	118818	83528.7
HART050	HART001	ZZ7	0.187485	30.937	2.3e-16	0.0506946	443886	116944	80017
HART050	HART001	ZZ9	0.201155	32.4564	2.3e-16	0.0614886	421243	123648	82234.1
HART063	HART001	HART053	0.559474	138.246	2.3e-16	0.633679	144502	439560	124169
HART067	HART053	HART001	0.704736	161.865	2.3e-16	0.384303	356076	304165	52682
HART001	HART069	HART053	0.000296426	0.18364	0.854296	0.000178254	457172	54836	54803.5
ZZ3	HART053	HART001	0.486651	53.1861	2.3e-16	0.303525	329304	268196	92609.5
ZZ7	HART053	HART001	0.550672	62.5297	2.3e-16	0.325777	345969	274104	79425.1
ZZ9	HART053	HART001	0.459777	46.5858	2.3e-16	0.290956	329161	262460	97129.1
HART063	HART001	HART067	0.201647	32.9914	2.3e-16	0.103601	224501	268076	178105
HART001	HART069	HART063	0.000260514	0.147252	0.882933	1.69876e-05	736761	39355.5	39335
HART063	HART001	ZZ3	0.325957	46.1389	2.3e-16	0.199465	198276	317748	161525
HART063	HART001	ZZ7	0.297066	42.3994	2.3e-16	0.168228	204946	305325	165468
HART063	HART001	ZZ9	0.346583	47.5594	2.3e-16	0.21019	197071	326798	158576
HART001	HART069	HART067	0.000248083	0.148508	0.881942	2.31224e-05	690120	36287.2	36269.2
HART067	ZZ3	HART001	0.492931	46.3541	2.3e-16	0.115981	567688	114933	39036.6
HART067	ZZ7	HART001	0.436696	40.3495	2.3e-16	0.0868054	593832	93440.8	36636.5
HART067	ZZ9	HART001	0.518165	48.2814	2.3e-16	0.131653	555106	126208	40055.8
HART001	HART069	ZZ3	0.000164997	0.0948227	0.924456	2.19304e-05	619615	41674.4	41660.6
HART001	HART069	ZZ7	0.000364359	0.224181	0.822616	4.22995e-05	637171	40153.6	40124.4
HART001	HART069	ZZ9	0.000193411	0.122067	0.902846	2.61029e-05	610346	42663.5	42647
ZZ7	ZZ3	HART001	0.123537	7.42379	1.13816e-13	0.0319491	587318	86819.2	67727
ZZ3	ZZ9	HART001	0.0559987	3.39046	0.000697756	0.0177275	553028	96694.1	86438.9
ZZ7	ZZ9	HART001	0.211085	11.5907	2.3e-16	0.0491104	602606	84189.5	54842
HART033	HART030	HART032	0.000396852	0.0508511	0.959444	0.000631281	139778	135520	135412
HART038	HART032	HART030	0.000983933	0.346652	0.728853	0.000675672	236848	71085.9	70946.1
HART030	HART032	HART046	0.370568	64.8975	2.3e-16	0.367391	315395	164328	75467.2
HART030	HART032	HART049	0.391255	66.7742	2.3e-16	0.515728	282697	167508	73293.4
HART032	HART030	HART050	0.00176814	0.265512	0.790615	0.00157473	190246	119191	118771
HART030	HART032	HART053	0.39713	65.4614	2.3e-16	0.507974	281713	168988	72919.1
HART030	HART032	HART063	0.0205814	3.70063	0.000215065	0.00264156	572412	79005.4	75818.9
HART030	HART032	HART067	0.107726	20.5219	2.3e-16	0.0196933	518820	78993.7	63629.5
HART030	HART069	HART032	0.0706004	8.37734	2.3e-16	0.0969109	161936	125070	108575
