pop1	pop2	pop3	pop4	est	se	z	p	cultivar	ci_low	ci_high	interpretation
HART061	HART067	ZZ7	HART063	-0.03621481631493449	5.768714449468922e-4	-62.777966620047366	0	ZZ7	-0.0373454843470304	-0.03508414828283858	mariannensis-like
HART061	HART067	ZZ3	HART063	-0.03461756035012292	5.887883583799634e-4	-58.79457339369325	0	ZZ3	-0.03577158553254765	-0.03346353516769819	mariannensis-like
HART061	HART067	ZZ9	HART063	-0.033856418002304295	6.306424825880042e-4	-53.68559673202754	0	ZZ9	-0.03509247726817678	-0.032620358736431807	mariannensis-like
HART061	HART067	HART053	HART063	-0.022012384431068104	3.291548319645752e-4	-66.87547103497224	0	HART053	-0.022657527901718672	-0.021367240960417536	mariannensis-like
HART061	HART067	HART049	HART063	-0.021973646710533763	3.0146626145600763e-4	-72.88924009076993	0	HART049	-0.022564520582987538	-0.02138277283807999	mariannensis-like
HART061	HART067	H6	HART063	-0.01860263962660921	2.896397879196912e-4	-64.22680999810423	0	H6	-0.019170333610931803	-0.018034945642286616	mariannensis-like
HART061	HART067	HART046	HART063	-0.01646539186876635	4.5794788878231115e-4	-35.95472819527135	4.269588748624306e-283	HART046	-0.01736296973077968	-0.01556781400675302	mariannensis-like
HART061	HART067	HART038	HART063	-0.005799662107469653	2.8163172098672433e-4	-20.59307128880926	3.1664650145237894e-94	HART038	-0.006351660280603633	-0.005247663934335673	mariannensis-like
HART061	HART067	HART032	HART063	-0.005798794740668221	2.8163041602640744e-4	-20.590086903555505	3.367643662664643e-94	HART032	-0.006350790356079979	-0.005246799125256462	mariannensis-like
HART061	HART067	HART069	HART063	-0.005035693822652833	2.7748121219754913e-4	-18.14787308579197	1.3346975097762569e-73	HART069	-0.005579556998560029	-0.004491830646745637	mariannensis-like
HART061	HART067	HART001	HART063	-0.0050346865579801925	2.773765253145486e-4	-18.151091020665113	1.2587568277708106e-73	HART001	-0.005578344547596707	-0.0044910285683636775	mariannensis-like
HART061	HART067	HART030	HART063	-0.004938996414081788	2.7670048725926115e-4	-17.849612275724244	2.9104999613139885e-71	HART030	-0.00548132936910994	-0.0043966634590536366	mariannensis-like
HART061	HART067	HART033	HART063	-0.004782856400039413	2.7472809859369567e-4	-17.40941834680309	6.9991411470527155e-68	HART033	-0.005321323473283057	-0.00424438932679577	mariannensis-like
HART061	HART067	HART050	HART063	-0.0037854265477698856	2.795618883989458e-4	-13.540567240581568	9.009054227029553e-42	HART050	-0.004333367849031819	-0.003237485246507952	mariannensis-like
